name,Zip code,Number of reviewers,Overall score,Cleanliness,Comfort,Facilities,Staff,Value for money,Free WiFi,Location,good Fitness Center,Daily Housekeeping,Heating,Free Parking,Airport Shuttle (free),Private Parking,Spa,On-site Parking,Fitness Center,Room Service,Family Rooms,Parking,Airport Shuttle,Air Conditioning,Free WiFi.1,Laundry,Water Park,Pet Friendly,Outdoor Pool,Indoor Pool,Elevator,Garden,Facilities for Disabled Guests,Bar,Beach nearby,wonderful Fitness Center,Beachfront,Non-smoking Rooms,Terrace,Swimming Pool,very good Fitness Center,Restaurant,Private Beach Area,exceptional Fitness Center,24-Hour Front Desk,WiFi,BBQ Facilities,Dist,Cluster
Huntley Santa Monica Beach,90403,713,8.8,9.4,9.3,8.7,8.7,7.6,7.8,9.3,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,(14.9 miles from center),5
Residence Inn by Marriott Beverly Hills,35,510,8.0,8.3,8.0,7.9,8.3,7.2,8.4,8.2,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,(8.7 miles from center),2
Luxe City Center Hotel,90015,"1,078",8.4,8.8,8.5,8.2,8.5,7.4,8.4,8.9,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,(1.3 miles from center),3
Chic Staples Center Apartment,90015,17,8.9,9.0,9.3,9.1,8.5,8.4,10.0,9.0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,(1.3 miles from center),5
SIXTY Beverly Hills,90212,654,8.1,8.3,8.1,7.8,8.4,7.0,7.1,9.0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,(8.7 miles from center),2
Hollywood Blvd Plush Apartment,90028,17,8.8,9.0,9.1,8.7,8.1,8.6,10.0,9.3,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,(6.2 miles from center),5
Friendship Motor Inn,90019,"2,354",8.2,8.5,8.0,7.7,8.7,8.2,7.5,8.1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,(4.3 miles from center),3
Two Bedroom near Boardwalk,90291,7,8.5,8.9,8.2,7.9,7.9,8.2,10.0,4.0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,(13.7 miles from center),0
Viceroy Santa Monica,90401,779,8.3,8.8,8.6,8.2,8.4,6.9,8.8,356.0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,1,0,(14.3 miles from center),3
Luxury Apartments Near the Grove,90036,45,9.1,9.0,9.1,9.1,9.5,9.0,8.8,9.2,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,(5.6 miles from center),4
Venice Breeze Suites,90291,510,8.4,8.6,8.4,8.4,8.4,7.7,9.1,9.1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,(13.7 miles from center),3
